IndicatorCode,SpatialDim,ParentLocation,TimeDim,NumericValue,Low,High,Dim1
WHOSIS_000001,PNG,Western Pacific,2015,66.00102,65.27889,66.71403,SEX_BTSX
WHOSIS_000001,BGR,Europe,2017,71.30955,71.19726,71.51199,SEX_MLE
WHOSIS_000001,SYC,Africa,2018,76.59446,76.35982,76.95561,SEX_FMLE
WHOSIS_000001,PRT,Europe,2020,83.64143,83.62799,83.71998,SEX_FMLE
WHOSIS_000001,LBY,Eastern Mediterranean,2012,75.536,75.1641,75.89673,SEX_FMLE
WHOSIS_000001,BLR,Europe,2002,67.90678,67.83223,68.02949,SEX_BTSX
WHOSIS_000001,SLV,Americas,2012,78.7409,78.59167,78.93078,SEX_FMLE
WHOSIS_000001,ROU,Europe,2015,78.49165,78.46508,78.59717,SEX_FMLE
WHOSIS_000001,GHA,Africa,2005,60.0663,59.45455,60.83975,SEX_BTSX
WHOSIS_000001,PHL,Western Pacific,2008,69.54674,69.25815,70.03015,SEX_BTSX
WHOSIS_000001,BDI,Africa,2016,63.24118,62.37689,64.23357,SEX_BTSX
WHOSIS_000001,PRK,South-East Asia,2019,75.30434,74.73664,76.01514,SEX_FMLE
WHOSIS_000001,CHL,Americas,2017,78.22463,78.20651,78.30039,SEX_MLE
WHOSIS_000001,PRI,Americas,2013,79.3794,79.29015,79.52247,SEX_BTSX
WHOSIS_000001,AFG,Eastern Mediterranean,2020,60.491,59.7552,61.48109,SEX_BTSX
WHOSIS_000001,UKR,Europe,2008,73.81328,73.76862,73.9278,SEX_FMLE
WHOSIS_000001,USA,Americas,2008,75.7634,75.7152,75.81159,SEX_MLE
WHOSIS_000001,BRA,Americas,2003,68.87851,68.57415,69.19448,SEX_MLE
WHOSIS_000001,CIV,Africa,2008,58.89591,57.9669,59.77664,SEX_FMLE
WHOSIS_000001,ARG,Americas,2013,72.91794,72.89797,72.9946,SEX_MLE
WHOSIS_000001,LSO,Africa,2021,48.73088,47.79994,49.69878,SEX_MLE
WHOSIS_000001,NLD,Europe,2008,78.2949,78.2177,78.3721,SEX_MLE
WHOSIS_000001,MYS,Western Pacific,2011,74.23052,73.91151,74.53378,SEX_BTSX
WHOSIS_000001,DZA,Africa,2003,74.28759,73.92715,74.79453,SEX_FMLE
WHOSIS_000001,SEAR,,2000,62.76834,62.18151,63.34918,SEX_MLE
WHOSIS_000001,BRN,Western Pacific,2005,76.47715,76.26596,76.73377,SEX_BTSX
WHOSIS_000001,GMB,Africa,2018,66.66686,65.87046,67.6559,SEX_FMLE
WHOSIS_000001,UKR,Europe,2009,69.49301,69.4561,69.58897,SEX_BTSX
WHOSIS_000001,KAZ,Europe,2011,69.12836,68.9321,69.40078,SEX_BTSX
WHOSIS_000001,NOR,Europe,2010,80.86688,80.83822,80.96378,SEX_BTSX
WHOSIS_000001,PRY,Americas,2006,77.32863,76.81665,77.96085,SEX_FMLE
WHOSIS_000001,SAU,Eastern Mediterranean,2007,72.35474,72.15574,72.6757,SEX_BTSX
WHOSIS_000001,NIC,Americas,2009,73.64432,73.30512,74.02659,SEX_MLE
WHOSIS_000001,SLE,Africa,2007,52.87598,51.87558,53.78295,SEX_BTSX
WHOSIS_000001,ISL,Europe,2016,82.17563,82.0823,82.3711,SEX_BTSX
WHOSIS_000001,TUN,Eastern Mediterranean,2010,78.73842,78.09883,79.46614,SEX_FMLE
WHOSIS_000001,TUN,Eastern Mediterranean,2015,74.39096,73.67289,75.29065,SEX_MLE
WHOSIS_000001,COD,Africa,2014,61.36773,60.59445,62.28911,SEX_FMLE
WHOSIS_000001,EUR,,2018,77.74803,77.66103,77.91848,SEX_BTSX
WHOSIS_000001,EGY,Eastern Mediterranean,2000,66.39256,65.93827,66.89799,SEX_MLE
WHOSIS_000001,MWI,Africa,2004,47.4049,46.45406,48.55619,SEX_MLE
WHOSIS_000001,NGA,Africa,2015,63.33445,62.37578,64.42279,SEX_FMLE
WHOSIS_000001,SVK,Europe,2009,75.21657,75.15977,75.33117,SEX_BTSX
WHOSIS_000001,ARG,Americas,2006,78.91603,78.89992,78.99852,SEX_FMLE
WHOSIS_000001,GNQ,Africa,2005,56.7734,55.23185,58.22765,SEX_BTSX
WHOSIS_000001,KGZ,Europe,2007,67.79056,67.57847,68.07461,SEX_BTSX
WHOSIS_000001,COD,Africa,2016,60.43572,59.55617,61.34377,SEX_BTSX
WHOSIS_000001,STP,Africa,2005,65.13716,64.56485,65.67126,SEX_MLE
WHOSIS_000001,HUN,Europe,2012,75.11316,75.07723,75.21156,SEX_BTSX
WHOSIS_000001,HTI,Americas,2002,58.01322,57.06349,58.85427,SEX_MLE
WHOSIS_000001,VUT,Western Pacific,2011,66.26188,65.85026,66.79783,SEX_BTSX
WHOSIS_000001,GNB,Africa,2001,50.63673,49.74344,51.52574,SEX_BTSX
WHOSIS_000001,SSD,Africa,2012,61.1499,59.83404,62.63921,SEX_FMLE
WHOSIS_000001,DNK,Europe,2011,77.7605,77.7456,77.83784,SEX_MLE
WHOSIS_000001,IRQ,Eastern Mediterranean,2008,69.80976,68.98759,70.6974,SEX_BTSX
WHOSIS_000001,HTI,Americas,2014,62.50123,61.63102,63.43695,SEX_FMLE
WHOSIS_000001,EUR,,2016,77.3507,77.28119,77.4951,SEX_BTSX
WHOSIS_000001,TTO,Americas,2006,75.14035,74.85968,75.505,SEX_FMLE
WHOSIS_000001,SSD,Africa,2001,54.74017,53.60192,56.18193,SEX_FMLE
WHOSIS_000001,OMN,Eastern Mediterranean,2020,73.88668,73.55441,74.29024,SEX_BTSX
WHOSIS_000001,SLV,Americas,2021,66.76773,66.14145,67.38621,SEX_MLE
WHOSIS_000001,BRA,Americas,2010,77.4258,77.26059,77.66705,SEX_FMLE
WHOSIS_000001,SYC,Africa,2007,68.76646,68.58418,69.00781,SEX_MLE
WHOSIS_000001,SEN,Africa,2001,60.79936,60.25053,61.38873,SEX_FMLE
WHOSIS_000001,DZA,Africa,2011,75.05406,74.75497,75.36571,SEX_MLE
WHOSIS_000001,SVK,Europe,2014,76.83438,76.77922,76.95676,SEX_BTSX
WHOSIS_000001,ESP,Europe,2015,82.3294,82.27065,82.38816,SEX_BTSX
WHOSIS_000001,COM,Africa,2009,63.61269,62.59888,64.81443,SEX_MLE
WHOSIS_000001,MLI,Africa,2010,58.90421,58.14611,59.64343,SEX_FMLE
WHOSIS_000001,MUS,Africa,2014,77.40056,77.26356,77.60574,SEX_FMLE
WHOSIS_000001,ZMB,Africa,2007,53.57699,52.75148,54.53153,SEX_BTSX
WHOSIS_000001,URY,Americas,2018,77.0374,76.99585,77.14613,SEX_BTSX
WHOSIS_000001,CAN,Americas,2013,79.62364,79.61396,79.70143,SEX_MLE
WHOSIS_000001,USA,Americas,2017,80.72614,80.67825,80.77403,SEX_FMLE
WHOSIS_000001,ZMB,Africa,2015,58.19204,57.3274,59.26014,SEX_MLE
WHOSIS_000001,AMR,,2017,76.8395,76.69732,77.05633,SEX_BTSX
WHOSIS_000001,JOR,Eastern Mediterranean,2011,77.3059,76.84144,77.8499,SEX_MLE
WHOSIS_000001,OMN,Eastern Mediterranean,2020,72.03758,71.64672,72.46372,SEX_MLE
WHOSIS_000001,FJI,Western Pacific,2010,69.29959,68.99748,69.6611,SEX_FMLE
